Company,cik,form,filed,ddate,Year,Quarter,Revenue,Gross_Profit,Operating_Income,Net_Income,Operating_Cash_Flow,Equity,Profit_Margin,Gross_Margin,Operating_Margin,ROE,Cash_Flow_Margin,Sector,ROE_Adjusted,ROE_Flag,OCF_Category,Cash_Flow_Margin_Adj,JPMorgan_OCF_Note,Has_Financial_Data,Data_Period_Note,Revenue_YoY_Growth,Revenue_TTM,Net_Income_TTM,Operating_Cash_Flow_TTM,Profit_Margin_Clean,FHS_PM_Score,FHS_CFM_Score,ROE_for_FHS,FHS_V2
Tesla,1318605,10-Q,2022-10-24,2021-09-30,2021,3,36104000000.0,3660000000.0,3910000000.0,1618000000.0,6912000000.0,,4.481497894970087,10.137380899623311,10.829824950144028,,19.144693108796808,Technology,,,Operating,19.144693108796808,,1,Q3 2021,311.63,92871000000.0,4521000000.0,18386000000.0,4.481497894970087,0.21456362918392113,35.35371057910941,,
Tesla,1318605,10-Q,2022-10-24,2022-09-30,2022,3,57144000000.0,5382000000.0,9755000000.0,8869000000.0,11446000000.0,39851000000.0,15.520439591208175,9.418311633767324,17.070908581828366,22.25540137010364,20.03009939801204,Technology,22.25540137010364,,Operating,20.03009939801204,,1,Q3 2022,58.28,124515000000.0,11990000000.0,25978000000.0,15.520439591208175,23.58109710330894,15.350832318198215,22.25540137010364,25.2
Tesla,1318605,10-Q,2024-10-24,2023-09-30,2023,3,23350000000.0,4178000000.0,1764000000.0,7069000000.0,8886000000.0,,30.274089935760173,17.892933618843685,7.554603854389722,,38.05567451820128,Technology,,,Operating,38.05567451820128,,1,Q3 2023,-59.14,125369000000.0,17887000000.0,30168000000.0,30.274089935760173,75.22455513871058,34.20235305734485,,
Tesla,1318605,10-Q,2025-10-23,2024-09-30,2024,3,25182000000.0,4997000000.0,2717000000.0,2173000000.0,10109000000.0,,8.629179572710665,19.843539035819237,10.789452783734411,,40.14375347470416,Technology,,,Operating,40.14375347470416,,1,Q3 2024,7.85,141780000000.0,19729000000.0,37353000000.0,8.629179572710665,4.862372631150567,49.49956335022578,,
Tesla,1318605,10-Q,2025-10-23,2025-09-30,2025,3,28095000000.0,5054000000.0,1624000000.0,1373000000.0,10934000000.0,79970000000.0,4.886990567716676,17.98896600818651,5.7803879693895714,1.7168938351881955,38.9179569318384,Technology,1.7168938351881955,,Operating,38.9179569318384,,1,Q3 2025,11.57,133771000000.0,19484000000.0,41375000000.0,4.886990567716676,4.340333688352261,67.09000751862492,1.7168938351881955,22.7
Tesla,1318605,10-Q,2022-10-24,2020-12-31,2020,4,,,,,,,,,,,,Technology,,,Operating,,,0,Q4 2020 - Balance Sheet Only,,76627000000.0,10615000000.0,29929000000.0,,,,,
Tesla,1318605,10-Q,2023-07-24,2021-12-31,2021,4,,,,,,,,,,,,Technology,,,Operating,,,0,Q4 2021 - Balance Sheet Only,,53277000000.0,3546000000.0,21043000000.0,,,,,
Tesla,1318605,10-Q,2024-10-24,2022-12-31,2022,4,,,,,,,,,,,,Technology,,,Operating,,,0,Q4 2022 - Balance Sheet Only,,,,,,,,,
Tesla,1318605,10-Q,2025-10-23,2023-12-31,2023,4,,,,,,,,,,,,Technology,,,Operating,,,0,Q4 2023 - Balance Sheet Only,,,,,,,,,
Tesla,1318605,10-Q,2025-10-23,2024-12-31,2024,4,,,,,,72913000000.0,,,,,,Technology,,,Operating,,,0,Q4 2024 - Balance Sheet Only,,,,,,,,,
